;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
01.07.2019;41,0;55,0;53,0;78,0;82,0;73,0;79,0;62,0;69,0;72,0;80,0;52,0;58,0;35,0;44,0;42,0;38,0;73,0;44,0;68,0;33,0;68,0;84,0;80,0
02.07.2019;61,0;47,0;40,0;82,0;78,0;37,0;37,0;71,0;79,0;69,0;79,0;78,0;75,0;56,0;58,0;58,0;51,0;50,0;74,0;78,0;39,0;32,0;78,0;52,0
03.07.2019;61,0;38,0;39,0;50,0;82,0;65,0;64,0;76,0;49,0;68,0;55,0;84,0;61,0;51,0;84,0;59,0;57,0;77,0;33,0;82,0;72,0;31,0;52,0;38,0
04.07.2019;69,0;60,0;49,0;73,0;72,0;82,0;64,0;53,0;59,0;56,0;45,0;75,0;57,0;67,0;33,0;52,0;73,0;33,0;53,0;57,0;56,0;52,0;52,0;41,0
05.07.2019;63,0;74,0;49,0;34,0;37,0;71,0;46,0;50,0;82,0;46,0;81,0;83,0;50,0;83,0;45,0;56,0;62,0;53,0;44,0;74,0;31,0;68,0;62,0;64,0
06.07.2019;47,0;42,0;76,0;80,0;68,0;38,0;76,0;35,0;43,0;78,0;31,0;61,0;57,0;70,0;77,0;31,0;70,0;54,0;42,0;52,0;57,0;69,0;70,0;44,0
07.07.2019;48,0;84,0;46,0;61,0;50,0;77,0;31,0;81,0;55,0;48,0;35,0;71,0;53,0;84,0;82,0;34,0;81,0;70,0;84,0;69,0;59,0;65,0;82,0;65,0
08.07.2019;42,0;55,0;81,0;53,0;35,0;52,0;56,0;63,0;56,0;83,0;38,0;82,0;46,0;46,0;44,0;78,0;52,0;73,0;39,0;40,0;81,0;33,0;65,0;81,0
09.07.2019;57,0;47,0;71,0;55,0;69,0;54,0;64,0;57,0;70,0;74,0;35,0;46,0;53,0;44,0;78,0;47,0;46,0;54,0;49,0;43,0;73,0;68,0;38,0;69,0
10.07.2019;45,0;76,0;56,0;82,0;55,0;71,0;54,0;75,0;63,0;44,0;69,0;58,0;35,0;71,0;35,0;60,0;42,0;48,0;32,0;61,0;48,0;70,0;59,0;46,0
11.07.2019;75,0;52,0;84,0;39,0;68,0;42,0;57,0;78,0;39,0;35,0;53,0;62,0;84,0;69,0;32,0;68,0;40,0;66,0;81,0;56,0;62,0;43,0;63,0;55,0
12.07.2019;40,0;66,0;75,0;52,0;58,0;76,0;84,0;46,0;34,0;61,0;42,0;41,0;39,0;80,0;46,0;76,0;71,0;55,0;66,0;77,0;82,0;32,0;40,0;74,0
13.07.2019;41,0;34,0;72,0;65,0;59,0;63,0;42,0;58,0;33,0;58,0;49,0;75,0;37,0;80,0;81,0;37,0;34,0;53,0;60,0;40,0;64,0;56,0;56,0;31,0
14.07.2019;65,0;41,0;54,0;60,0;52,0;83,0;71,0;46,0;77,0;41,0;57,0;34,0;83,0;79,0;42,0;54,0;84,0;77,0;36,0;44,0;74,0;69,0;43,0;58,0
15.07.2019;45,0;73,0;34,0;73,0;50,0;51,0;42,0;73,0;65,0;49,0;79,0;51,0;59,0;72,0;78,0;61,0;84,0;75,0;33,0;65,0;73,0;84,0;59,0;67,0
16.07.2019;79,0;45,0;68,0;31,0;43,0;78,0;36,0;77,0;51,0;54,0;51,0;79,0;84,0;84,0;56,0;73,0;35,0;31,0;69,0;32,0;67,0;58,0;44,0;33,0
17.07.2019;65,0;76,0;60,0;67,0;76,0;37,0;49,0;54,0;76,0;84,0;32,0;75,0;73,0;56,0;55,0;35,0;44,0;35,0;79,0;40,0;60,0;79,0;79,0;79,0
18.07.2019;53,0;47,0;51,0;65,0;41,0;51,0;40,0;43,0;62,0;53,0;62,0;39,0;46,0;70,0;37,0;67,0;77,0;62,0;55,0;67,0;65,0;31,0;83,0;55,0
19.07.2019;66,0;73,0;50,0;61,0;45,0;39,0;31,0;84,0;36,0;62,0;31,0;45,0;78,0;56,0;45,0;44,0;36,0;54,0;46,0;51,0;32,0;33,0;71,0;44,0
20.07.2019;39,0;39,0;50,0;69,0;32,0;40,0;75,0;33,0;52,0;54,0;54,0;41,0;37,0;45,0;42,0;52,0;69,0;46,0;63,0;41,0;74,0;44,0;42,0;61,0
21.07.2019;42,0;81,0;60,0;34,0;41,0;63,0;68,0;59,0;61,0;31,0;78,0;59,0;59,0;43,0;54,0;71,0;66,0;44,0;76,0;61,0;75,0;42,0;72,0;68,0
22.07.2019;76,0;48,0;35,0;54,0;84,0;43,0;51,0;46,0;34,0;44,0;60,0;70,0;82,0;61,0;82,0;59,0;56,0;36,0;50,0;59,0;40,0;48,0;46,0;70,0
23.07.2019;44,0;76,0;84,0;71,0;75,0;46,0;36,0;43,0;79,0;69,0;36,0;43,0;60,0;72,0;67,0;60,0;55,0;59,0;36,0;53,0;42,0;79,0;67,0;34,0
24.07.2019;72,0;75,0;73,0;65,0;40,0;73,0;65,0;82,0;35,0;79,0;50,0;46,0;38,0;39,0;69,0;33,0;35,0;43,0;64,0;58,0;46,0;77,0;42,0;45,0
